type      jobs                 time
thread    1                 2861800
thread    2                 2479200
thread    3                 2572500
thread    4                 2461800
thread    5                 2417400
thread    6                 2467300
thread    7                 2490100
thread    8                 2847000
thread    9                 2430300
thread    10                2401800
thread    11                2437600
thread    12                2476000
thread    13                2460000
thread    14                2426700
thread    15                2571800
thread    16                2519400
thread    17                2813800
thread    18                2494900
thread    19                2506000
thread    20                2568600
thread    21                2527000
thread    22                3065300
thread    23                2634500
thread    24                2597600
process   1               406909700
process   2               377964600
process   3               368599900
process   4               374402000
process   5               363060300
process   6               377584200
process   7               368047600
process   8               358975100
process   9               361788700
process   10              364983700
process   11              361623600
process   12              369035900
process   13              367439600
process   14              365063700
process   15              384544600
process   16              363628000
process   17              364841500
process   18              362391800
process   19              370927700
process   20              377727700
process   21              384640700
process   22              365939500
process   23              374869100
process   24              379696200
